index,Series_Name,Series_Code,Country_Name,Country_Code,1990_[YR1990],2000_[YR2000],2013_[YR2013],2014_[YR2014],2015_[YR2015],2016_[YR2016],2017_[YR2017],2018_[YR2018],2019_[YR2019],2020_[YR2020],2021_[YR2021],2022_[YR2022],2012_[YR2012],2011_[YR2011],2010_[YR2010],2009_[YR2009],2008_[YR2008],2007_[YR2007],2006_[YR2006],2005_[YR2005],2004_[YR2004],2003_[YR2003],2002_[YR2002],2001_[YR2001],1999_[YR1999],1998_[YR1998],1997_[YR1997],1996_[YR1996],1995_[YR1995],1994_[YR1994],1993_[YR1993],1992_[YR1992],1991_[YR1991],1989_[YR1989],1988_[YR1988],1987_[YR1987],1986_[YR1986],1985_[YR1985],1984_[YR1984],1983_[YR1983],1982_[YR1982],1981_[YR1981],1980_[YR1980],1979_[YR1979],1978_[YR1978],1977_[YR1977],1976_[YR1976],1975_[YR1975],1974_[YR1974],1973_[YR1973],1972_[YR1972],1971_[YR1971],1970_[YR1970],1969_[YR1969],1968_[YR1968],1967_[YR1967],1966_[YR1966],1965_[YR1965],1964_[YR1964],1963_[YR1963],1962_[YR1962],1961_[YR1961],1960_[YR1960]
10,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Aruba,ABW,24007.4957081744,29005.933373874726,27821.79159990687,27624.37730037714,28421.38649318618,28852.23706673813,30270.94160081534,31705.279053111724,31762.734025635822,25823.634823563978,30271.833474653587,123456789.123,26337.585059242316,26829.634480298962,26200.72730015612,27243.33320225161,31230.193038316953,31051.001571769622,30490.365841912244,30505.33919398724,30931.93649973631,29093.578237886246,29059.48650951367,29693.13991496672,27646.19564565755,28121.315579602717,28413.144005702532,27358.542121395385,27868.543075104553,28027.51563537291,26743.722804122815,25692.23845988187,25097.27210999091,23491.664675816744,21036.38744771362,17697.52344954715,15221.850676672437,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123
11,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Australia,AUS,36965.64010688587,45893.81174773266,55729.19298846116,56320.11028871684,56710.44572445044,57356.05124170342,57703.034363833365,58481.03442376489,58870.021693753064,58117.452026881154,59341.23774016575,123456789.123,55271.366136587145,54132.52175364523,53607.9847584907,53272.984733548954,53383.70750208182,52587.785997123756,51606.66552591471,50912.46689711488,49960.38024019271,48454.28220399114,47535.78956925602,46233.248509823505,44679.064227423165,43037.45002984376,41551.63880627479,40422.03755283534,39396.242031920905,38346.87993643429,37235.65704422412,36106.95845442193,36357.64661471743,36221.365725562544,35465.33680469228,34087.82322930106,33746.6465423886,32932.16026482299,31700.55102864663,30674.91162859391,31805.101586241763,31319.985201724547,30784.91792446815,30244.37009203254,29382.9582511276,29463.48972209423,28763.33022023447,28320.037933133455,28292.78613974188,27873.329408675065,27580.3037890559,27034.819821127625,26888.506128019682,25587.3842565237,24408.83313464864,23639.081630781053,22519.520098574634,22504.21271288966,21654.54470036463,20642.800342331717,19811.036680133784,20041.0477263408,19948.552170427072
12,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Austria,AUT,31340.681292716505,38842.89051958305,44299.378184544636,44245.168739833825,44195.817594774824,44590.25162781637,45281.723399938004,46154.62509565415,46647.08096343347,43455.70006657379,45238.39071447326,123456789.123,44549.88169823101,44451.00019184727,43334.50896446905,42655.19213048132,44440.05588992799,43937.71289057435,42496.35105168305,41281.27075595222,40651.22661558113,39815.22195330638,39636.48261145213,39184.80859726363,37664.94327921164,36442.28823333842,35220.887742625884,34537.7395746518,33790.484985750394,32962.8174189767,32313.711872263695,32410.539773259956,32097.24109367552,30265.1932308117,29264.323577825202,28370.71788191391,28008.554589034415,27395.872647990607,26740.577241759573,26725.190722852705,25911.66094000392,25419.009647610157,25520.740555739958,25086.400193857968,23770.366243236524,23801.267544962444,22659.317777419015,21629.046302827534,21650.486797649766,20864.847458327888,20002.556110575842,18943.181146775474,18101.99194773224,17085.32996591691,16132.009520453597,15521.809647011476,15181.588761376146,14471.821323119504,14076.27616319517,13352.651131577551,12904.669883596027,12648.97469693918,12051.151170038513
13,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,2820.740990987637,1480.756661529687,5425.905292082845,5505.988232660364,5500.31038244408,5270.552974833646,5229.526140535899,5262.183807921875,5348.265267071046,5083.381640198802,5344.4213481708475,123456789.123,5194.738389661766,5152.657454051884,5215.020914640895,5023.79077008268,4692.912185307873,4326.9615686844145,3501.0418092596874,2631.758980949168,2077.8122625974047,1918.543625299289,1754.0736086257416,1614.7921193499615,1343.808721429805,1262.2475356641535,1158.4409535968405,1105.5483967538498,1102.4591530800801,1264.4827591929131,1596.0765844842163,2107.2227428728183,2763.976875890727,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123
"14,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,""Bahamas, The"",BHS,31860.019444984013,32823.80576154407,29902.243424910746,30182.19432652571,30206.240434737214,29699.18559754508,30371.58098438203,30705.601972950477,31082.806096024295,23566.5753253459,26705.566007927246,123456789.123,31072.84566586322,30470.24836796186,30664.025920012762,30627.337864602683,32425.588081447524,33672.97124428619,33663.54892163728,33295.932736482835,32645.12484751793,32799.13686068416,33665.57033735723,33214.168747153366,31982.760836300145,28946.278512844696,30822.188060868615,29334.662590495565,28651.319021642645,27968.21467390187,27663.253250120124,28183.87597471912,29932.868635691484,33009.266345620614,31527.214835337065,31398.219891786837,31073.49147635916,31129.288407382526,30282.467734166905,27037.2135583208,26594.04389001702,25385.902970205134,28491.622551755398,27281.33725462569,22071.536140365035,19742.078904559407,18475.755652277043,17931.711811407124,21485.215478081365,26369.93231811305,25082.59638553576,26660.44313996467,27010.82171075293,29686.20581681391,28439.648874753548,27434.18357482939,26168.70677820522,25064.48060813312,23689.829070442207,22431.8338976455,21313.690996316494,20274.18762015444,19234.536634788485"
15,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bahrain,BHR,17405.88520251169,21713.538050227417,23012.708341526617,23107.95659258439,22795.4488576612,22810.774924092402,23019.255742669473,23023.119780062454,23414.21907435334,22510.404079187156,23234.712072436167,123456789.123,22484.854815633797,21906.74642538036,21452.921519824285,21157.79342033358,21918.00506103423,22013.75841577187,21783.85153434625,22027.331306682023,22325.703075054746,22348.90480943483,21866.04922844316,21681.02829786459,21195.900778037765,20915.833412856617,20566.557014946684,20576.51538811874,20403.37053278352,20283.0874092638,21024.968617530754,19275.481497700188,18709.79573979147,17234.793211681295,17776.697339342212,17210.96495045641,16156.622152238508,16549.30853768002,18004.39394202411,17758.34752002504,17281.13169433458,19366.613973183037,21290.94332325928,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123
16,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,493.0953391757172,646.0381126672173,1120.6859402021387,1173.8936344661938,1236.0050604905882,1307.7330346761648,1376.604207943043,1460.3050169216192,1557.965291237174,1593.348321252298,1684.4343899534765,123456789.123,1070.595742539505,1017.6282808840172,967.561603724016,927.0185879213444,890.296648425188,847.2824062223218,799.781907040519,758.8903834087739,723.2282293705143,698.7324632737088,678.8678758571775,666.0681153554888,625.3641919990669,609.0138918734363,590.0031075754904,574.8361301395948,559.689533173764,542.454739818669,532.2530075698699,518.1101237368392,500.4940903569907,476.87966793747717,473.6824030005685,472.6260095014933,465.7265851799806,457.84320614418044,454.5225082910321,445.5460853547052,440.96077758539747,443.77547936289096,424.80994635425856,431.7581705748722,421.7631761506036,403.3250062145414,401.8645193187444,388.88479590780594,415.20192028424106,388.4629837643226,385.70814587869694,454.72471075874313,487.0285688628272,472.84044912161437,480.79663109640757,452.4979418574827,475.22219998266985,477.30924298787585,484.042373953311,449.5655248704345,465.41482613258006,454.7790480798296,441.448188362978
17,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Barbados,BRB,15169.485056289595,16698.06105458248,16667.7383770438,16615.505438211116,16990.219466849827,17385.200749706863,17430.873210308786,17220.93100147474,17168.145686849086,14855.689858706872,14800.838146090475,123456789.123,16953.435543744854,17071.053438641506,17237.77116457239,17714.67524034112,18729.590239200632,18692.1211181299,18380.669907853113,17382.77279774248,16781.898332073575,16610.536940162263,16320.568032082583,16258.842175575564,16016.557415421066,15995.105539045255,15444.657162748606,14769.880112089304,14231.556658953585,13982.095346199583,13744.141872231625,13677.031005985373,14547.87950851004,15695.001903808346,15149.440097693654,14642.490424469988,14288.378265425596,13618.686597427903,13503.8360872383,13073.875295206535,13052.583789352946,13776.877697742715,14105.092022058963,13580.574725349517,12653.519144174501,12130.157242325316,11765.328715574224,11331.66821659195,11609.353435805413,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123
18,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belarus,BLR,2890.5241663883953,2616.912992633586,6110.904667363409,6212.912772435181,5967.052203849139,5811.197943575536,5964.89294392711,6165.909330245024,6264.860964861757,6247.431909471988,6418.237634370281,123456789.123,6047.871128882873,5938.220680485374,5621.937174665561,5203.854886702063,5180.712344389809,4684.980290997537,4294.228671635257,3880.014369745516,3522.4898511768693,3139.1209864296666,2912.1233609418537,2754.664469717894,2461.8268510391194,2370.18646740428,2176.69235022362,1945.8389475624194,1886.4774252865063,2098.6242627952934,2373.8905213642474,2574.82385165248,2854.5207507074288,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123
19,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belgium,BEL,29441.66214815928,35674.79125307126,39970.31749747935,40421.4207919096,41008.29671947198,41318.019638847625,41825.76283164317,42382.318276324746,43098.484719888904,40612.392456065296,42901.43205957969,123456789.123,39975.573640245835,39929.09514393591,39777.92527673661,39025.22079082905,40151.84987403939,40290.22775639559,39147.76355972909,38426.05190837309,37761.28131899812,36617.38038402271,36393.24176657038,35943.23796028385,34479.906448469534,33376.574839896464,32804.36054023613,31681.93636345021,31329.89207275097,30664.307854640752,29797.406319877624,30204.563751571306,29870.147774707668,28631.319093023812,27772.052045468292,26603.92809813006,26026.280498150183,25569.48933011307,25161.4909793831,24555.48096975896,24477.19988262764,24325.813275206565,24393.29817751946,23381.127244322644,22866.823231032904,22255.684409424433,22144.523613958936,20997.206832529322,21480.261317053046,20607.180913577744,19432.03103295001,18527.148740186687,17849.49471354558,16922.35437778313,15915.195653899464,15334.767886241565,14846.097347356475,14489.445096592362,14118.902318486036,13326.113269315372,12866.228765855596,12277.63471945229,11734.30617083898
