,scale__biofuel_electricity,scale__hydro_electricity,scale__solar_electricity,scale__wind_electricity,scale__coal_electricity,scale__fossil_electricity,scale__gas_production,scale__greenhouse_gas_emissions,scale__low_carbon_electricity,scale__net_elec_imports,scale__nuclear_electricity,scale__oil_production,scale__primary_energy_consumption,scale__hydro_consumption,scale__per_capita_electricity,scale__biofuel_elec_per_capita,scale__hydro_elec_per_capita,scale__solar_elec_per_capita,scale__wind_elec_per_capita,remainder__country,remainder__year,remainder__iso_code,remainder__GDP_per_capita
1389,0.0,3.775412441111321e-05,0.0,0.0,0.0,0.004238965649636036,0.09836038988477443,0.0025723423793141747,1.7447370043229268e-05,0.5361945237929352,0.0,0.0890618015825865,0.006849503776640108,4.6064895498802876e-05,0.013824013735784887,0.0,3.9714242327253715e-05,0.0,0.0,Algeria,2000,DZA,3138.231047505887
3186,0.0015294542043513238,0.10730032361867002,0.0,4.560708444281336e-05,7.473113787484759e-06,5.6881325480332044e-05,0.052903362490123805,0.000788143757646585,0.04968825675563742,0.4039573608304884,0.0,0.21346143242117474,0.013256383577582471,0.12080984102886448,0.564741169136762,0.02292771655652042,0.7717814673332979,0.0,0.002074598524236472,Norway,2000,NOR,67437.743355228
121,0.0012940630224580842,0.0015963412243488527,0.0,0.0,0.025451646247366542,0.02504447954289534,0.004124894927836844,0.02485966812303323,0.000814641832940278,0.49230126106040545,0.0,0.0009319618328039212,0.023235992375209485,0.0017938805364696414,0.06621896807563268,0.0022629926228872246,0.001339341986501904,0.0,0.0,Poland,2000,POL,7344.120760595225
2252,0.3573820734314561,0.20430345569780475,0.0014981655957692953,0.008526389342036202,0.36827465412547067,0.4796025504953344,0.5551257965625229,0.43847545078027184,0.38629662578003116,0.7718943774820595,0.9314068187206507,0.4635060388326717,0.6061859653843246,0.2323560286920632,0.23975730511496052,0.08517100408569597,0.023370566785882473,0.001603797716078902,0.0061477672311574345,United States,2000,USA,48746.04096007672
1520,0.0028829535002374506,0.0018914135393856095,0.0,0.0,7.864562604924436e-05,0.0005049617887827289,0.0,0.00047850734636203956,0.0011153379899979366,0.5318051975196822,0.0,0.0015138718343393608,0.0010876895781364814,0.0,0.009149799085308044,0.016535858466463382,0.005206476310918831,0.0,0.0,Guatemala,2000,GTM,3195.3943398189313
1335,0.0017059975907712532,8.314986518599884e-05,0.0,0.0,0.0,0.0010348347176085792,0.0,0.0008487718661498525,0.00013982371303181132,0.5366829234306416,0.0,0.0,0.0009867553540222353,0.0,0.04240277053081084,0.04396829236000082,0.001029209657810586,0.0,0.0,Jamaica,2000,JAM,4920.069867144002
2741,0.0,3.775412441111321e-05,0.0,0.0,0.0,7.466229624630017e-05,0.0,6.277174519677599e-05,1.7447370043229268e-05,0.5366829234306416,0.0,0.0,0.00020462929612338204,0.0,0.0006906389390774127,0.0,0.00010084127787434066,0.0,0.0,Cambodia,2000,KHM,488.0027022891109
1796,0.0,0.0,0.0,0.0,0.0,1.7603161058308446e-06,0.0,2.1436366935083906e-06,0.0,0.5366829234306416,0.0,0.0,3.3089070303516445e-06,0.0,0.0020044821608631077,0.0,0.0,0.0,0.0,Kiribati,2000,KIR,1477.0776216100862
2243,0.0005878894767783657,0.00015880943314414153,0.0,0.0,0.0,0.00030048062497409537,0.0,0.0002619783874217981,0.00015380958080193498,0.5374486170138647,0.0,0.0,0.0003721298693989467,0.0,0.007403671009988854,0.007730468980359027,0.001001835695470427,0.0,0.0,Nicaragua,2000,NIC,1429.726758571568
1797,0.0,0.0,0.0,0.0,0.0,5.31651025902447e-06,0.0,4.308926282910806e-06,0.0,0.5366829234306416,0.0,0.0,1.0456511588668173e-05,0.0,0.05136870564560403,0.0,0.0,0.0,0.0,Nauru,2000,NRU,3328.7989829609505
138,0.0,0.0016946986626944385,0.0,0.0,0.0,0.0002311348389868197,0.0,0.0002078461476867378,0.0007831736304574999,0.5386330383891869,0.0,0.0,0.0005567344548603869,0.0,0.009470072745073232,0.0,0.008224455658921348,0.0,0.0,Honduras,2000,HND,1768.2518904372646
1330,0.023185442938529355,0.0038509963495015056,0.0,0.001448901990375532,0.02246614665407063,0.049669345956684596,0.12145001346013386,0.03917006701939379,0.0332303868571444,0.635407231937574,0.10508878134552098,0.16835016383317772,0.06084591114396248,0.004332203202135384,0.11328610731271774,0.02651553751431376,0.0021139273565771856,0.0,0.005013553573690766,United Kingdom,2000,GBR,39187.58308174357
1453,0.0,0.00029499665546879844,0.0,0.0,0.0005356480732037008,0.0008748059807148659,0.0,0.0007296809387327197,0.0001363272460892804,0.5492231589214798,0.0,0.0,0.0007524372378149321,0.0,0.022241076193292422,0.0,0.002241998394668643,0.0,0.0,Moldova,2000,MDA,1337.860084937703
2534,0.0,0.010418246848268291,0.0,0.0,0.0,3.7322257637767104e-05,4.644599854128094e-05,9.958166821661706e-05,0.004814600015195645,0.5467846443252281,0.0,2.7507430417409257e-05,0.001342970956275205,0.0,0.039686472370197935,0.0,0.05365105734165893,0.0,0.0,Tajikistan,2000,TJK,430.34216742183344
1536,5.825931751857678e-05,0.0012331752981497679,0.0,0.0,0.0,1.0650801488814907e-05,0.0,1.7300663819325294e-05,0.0005733856139056448,0.5366829234306416,0.0,0.0,0.0004408427835074912,0.0,0.0004516223663018587,5.8971910874867904e-05,0.0005943302721691156,0.0,0.0,Ethiopia,2000,ETH,258.8705507898301
1849,0.0,0.0,0.0,0.0,0.0,2.8431772254783036e-05,0.0,2.3796532587532538e-05,0.0,0.5366829234306416,0.0,0.0,5.245154284344164e-05,0.0,0.048913345485354726,0.0,0.0,0.0,0.0,American Samoa,2000,ASM,12943.46728182228
1851,0.0,8.314986518599884e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.8426171698414764e-05,0.5373092733226503,0.0,0.0,6.626720021654549e-05,0.0,0.00024154350256819674,0.0,0.00033151579266578663,0.0,0.0,Rwanda,2000,RWA,337.45629178113694
2912,0.0,0.0009456689399088257,0.0,0.0,0.0,0.00044984077940822764,0.0,0.0002793007041370175,0.0010803733205726274,0.5338256810422908,0.0022731375042484656,0.0,0.0006707764266310985,0.0,0.03158565900492115,0.0,0.009642109174650129,0.0,0.0,Armenia,2000,ARM,1249.6121475685682
835,0.0,7.490297227856128e-06,0.0,0.0,0.0,1.2428898565411723e-05,0.0,1.0804795051118049e-05,3.4615022731056063e-06,0.5366829234306416,0.0,0.0,4.283767217554624e-05,0.0,0.00031078031041735147,0.0,5.3303459346118306e-05,0.0,0.0,Sierra Leone,2000,SLE,403.0941001082112
1236,5.825931751857678e-05,0.0,0.0,0.0,0.0,0.001511364734136525,0.0,0.0012601768881363112,3.4615022731056063e-06,0.5302027450707169,0.0,0.0,0.0012640276049713703,4.292476190945358e-06,0.10848780776586928,0.002835285512169858,0.0,0.0,0.0,Estonia,2000,EST,9960.139038774518
1614,0.0,2.2622210819484667e-05,0.0,0.0,0.004365853009395764,0.007124817204952663,1.1549949856197773e-05,0.005915549505351503,1.0454436158167438e-05,0.5265101372535358,0.0,5.836299325744607e-06,0.005192218622597731,2.6475071271669694e-05,0.11674004103267419,0.0,0.00011985640528562959,0.0,0.0,Israel,2000,ISR,29321.325400748447
1410,0.0,0.0,0.0,0.0,0.0,3.1987966407976665e-05,0.0,2.8127111766337366e-05,0.0,0.5380756636243293,0.0,0.0,7.574405610057538e-05,0.0,0.0002757879422528481,0.0,0.0,0.0,0.0,Niger,2000,NER,389.0775216531947
1922,0.0003524982948851261,0.01211302117053069,0.0,0.0,4.3059369918364565e-05,0.0006169819046083281,0.00035590758365961053,0.0005932676946003676,0.005618787411977756,0.5366829234306416,0.0,0.006882349917470255,0.0033969367454054927,0.013779972106971156,0.013054662447331434,0.0008914699408209548,0.014680506912696605,0.0,0.0,Peru,2000,PER,3279.3955928057026
1988,0.0,0.0,0.0,0.0,0.0,1.5985092718605346e-05,0.0,1.2970084640520463e-05,0.0,0.5366829234306416,0.0,0.0,1.76041161469847e-05,0.0,0.035230456949807434,0.0,0.0,0.0,0.0,Saint Kitts and Nevis,2000,KNA,13939.810170204748
294,0.0,0.0008851412855423114,0.0,0.0,0.0009757938727172142,0.0010028289702298365,0.0,0.0009960115582292165,0.00040905166760669173,0.5374486170138647,0.0,0.0,0.0007044363918673878,0.0009967475418155602,0.05950679078012678,0.0,0.014031817328348252,0.0,0.0,North Macedonia,2000,MKD,3283.377862941814
