,scale__net_elec_imports,scale__per_capita_electricity,scale__biofuel_elec_per_capita,scale__hydro_elec_per_capita,scale__solar_elec_per_capita,scale__wind_elec_per_capita,remainder__country,remainder__year,remainder__GDP_per_capita
0,0.5366822267121856,0.001896333710184693,0.0,0.0,0.0,0.0,Comoros,2018,1383.377789229767
1,0.5366822267121856,0.011689593651134231,0.004495253751990331,0.0037920021222949394,0.0,0.0,Congo,2020,1586.318296618903
2,0.5366822267121856,0.14704713499100472,0.0031896563877931777,0.001793653474182833,0.0013422756749511208,0.0028279588955456778,South Korea,2007,23360.90573538206
3,0.5375879607050791,0.0024270188538695237,0.0,0.0003898578154167035,0.0,0.0,Mauritania,2006,1601.1412056687498
4,0.5387027102347941,0.004055798436989074,0.0,0.005729422723331384,0.0,0.0,Lesotho,2012,1075.6201955735446
5,0.5366822267121856,0.06419945683498852,0.0,0.0,0.0,0.0,Oman,2000,19953.675180485156
6,0.5222601546714972,0.12854440052191998,0.1493264168572443,0.00013401287326026822,0.0,0.32560357901884185,Denmark,2002,49541.85555032855
7,0.5016372883717689,0.07973157041426183,0.003215717068164914,0.0005379735134535543,0.0005213798076256419,0.00027023515841952984,South Africa,2012,6194.992758763795
8,0.5506165958336235,0.007339261875558132,0.0,0.0005973879694543867,0.0,0.0007540027461347042,Morocco,2000,1678.97912597656
9,0.5372396014770431,0.0027258871931321745,0.0,0.00033330236477943724,0.0,0.0,Mauritania,2003,1271.673825413193
10,0.6570751759214102,0.10287287895994383,0.06282076532100991,0.0001804056409665389,0.0005786946091731415,0.01863833061423411,Netherlands,2001,41087.042173269016
11,0.5238626071204626,0.05174882385792645,0.0,0.059370537834407225,0.0,0.0,Kyrgyzstan,2001,749.4197807071978
12,0.5329199470493973,0.007542865931680813,0.000158927427840753,0.007147080954322537,0.0,0.0,Ghana,2012,1631.9378141766044
13,0.5366822267121856,0.08292031585026387,0.0,0.0,0.0,0.03524361717475422,Seychelles,2017,16267.201968885982
14,0.5194732808472096,0.08253735554667567,0.0030525173976402695,0.0009696352728417291,0.0003568308612473365,0.00020779038077676997,South Africa,2010,6018.230753702789
15,0.554030516268376,0.05482965244784096,0.0,0.011646554765196736,0.0,0.0,North Macedonia,2007,4017.7921006560864
16,0.06855709607747507,0.15675875241922996,0.04024409885798681,0.02409382323423324,0.09289620012110063,0.09774976296105957,France,2014,36378.61866146991
17,0.5563993590190204,0.010564784329487119,0.0,0.013731730685442691,0.008386449671595431,0.0,Namibia,2013,4648.32472961827
18,0.5226085138995331,0.051270581649244314,0.005322787159860058,0.017911284198659356,0.01934836768369625,0.08083727680477969,Romania,2013,8287.18138452781
19,0.5366822267121856,0.00333812673977146,0.0,0.0,0.0,0.0,Yemen,2004,2329.329940055608
20,0.5366822267121856,0.05712332597605007,0.0,0.0,0.0,0.0,American Samoa,2009,12378.170194566459
21,0.5366822267121856,0.009810018419171163,0.0,0.006170262130189158,0.0,0.0,Samoa,2010,4046.6320279086012
22,0.5400961471469379,0.031225908586184292,0.0,0.005614173574347966,0.0,0.0,Uzbekistan,2001,1313.1922713804695
23,0.5366822267121856,0.20334143614272626,0.0,0.0,0.0,0.0,Guam,2000,30879.932280594658
24,0.41336305998745904,0.10470344753792755,0.05091402496100511,0.021904041353037983,0.212000055465937,0.16500565950657142,China,2021,11188.302540313363
25,0.5353584616456489,0.001112755905134396,0.0,0.0016727103397274389,0.0,0.0,Uganda,2004,585.5212852176574
26,0.5721451961262454,0.009889334833971943,0.007580667418296563,0.006557140813966516,0.0,0.0,Zimbabwe,2000,1676.515461148063
27,0.5756287884066048,0.024882146134071068,0.0,0.002530315847776656,0.0,0.0,Iraq,2009,3739.4555512208267
28,0.5366822267121856,0.008154682551424916,0.0,0.0,0.0,0.0,Tonga,2015,4117.960716560007
29,0.5366822267121856,0.004033418555452307,0.0,0.0,0.0,0.0,Kiribati,2020,1392.1065956335067
30,0.5841984254162893,0.07718473989537776,0.06820464555124961,0.010798823637016643,0.0,0.06036256729860304,Portugal,2005,19224.034651331363
31,0.5288789800041803,0.04533053816249119,0.0,0.018954484802788815,0.0,0.0,Armenia,2017,3985.9167567329123
32,0.5366822267121856,0.0035975923899662287,0.0016161894073160447,0.0036790353725513433,0.0,0.0,Myanmar,2012,1041.22587003176
33,0.6180589423813836,0.06271040172486506,0.09420295117980118,0.0005913576304102262,0.23322779398102142,0.02392388627585806,Hungary,2020,14427.818884662887
34,0.5365428830209712,0.0011597184124536746,0.0,0.0017617479353356413,0.0,0.0,Nepal,2001,564.0752891047176
35,0.5707517592141016,0.04309376592363815,0.0,7.111475526181317e-05,0.0,0.0,Belarus,2002,2912.1233609418537
36,0.5366822267121856,0.009468170134185543,0.004118441947271127,0.005187821396349271,0.0,0.0,Congo,2016,2045.202259161048
37,0.5366822267121856,0.017918989622008382,0.0,0.01055576013060321,0.0,0.0,Dominica,2002,6078.271720511081
38,0.5488747996934439,0.021425212180661117,0.0,0.0,0.0036977291320967514,0.0,Botswana,2019,6485.457267269323
39,0.5366822267121856,0.06748119332206892,0.0,0.0,0.0,0.0,Barbados,2012,16953.435543744854
40,0.5471330035532641,0.023514347689187358,0.0,0.0020590604678913634,0.0,0.0,Moldova,2001,1422.6474054016096
41,0.5366822267121856,0.0903941213443521,0.0,0.012486838064278466,0.0025911836893167985,0.002615861978379752,Kazakhstan,2015,10510.77188841485
42,0.5407231937574026,0.001810867233449796,0.0,0.002665481933284413,0.0,0.0,Democratic Republic of Congo,2013,441.01295969841476
