Country;Product;Flow;NoCountry;NoProduct;NoFlow;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021 Provisional
Australia;Coal, peat and oil shale;Commercial and public services (PJ);01. Australia;01. Coal, peat and oil shale;11. Commercial and public services (PJ);2,599998613;3,900000013;3,937651906;10,94581082;10,70651845;10,4258312;10,20343257;9,352155643;9,366796883;9,085284824;8,701028694;8,401345924;8,270416314;8,200132502;7,908953123;7,435459537;7,122906544;6,82940349;6,642014882;6,158774426;5,636487874;4,903433622;4,518687636;4,285784326;3,975446149;3,414100939;3,110415588;2,418534328;2,046080786;2,071783552;3,038716638;3,065219082;3,91601871;2,818097399;3,174109376;2,467591063;2,158848058;1,870875767;1,559511824;0,65219877;0,504798289;0,306900814;0,148698389;0,2782003;0,289500473;0,324096001;0,525497828;0,509399582;0,5780003;0,794495542;..
Australia;Coal, peat and oil shale;Other final consumption (PJ);01. Australia;01. Coal, peat and oil shale;12. Other final consumption (PJ);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
Australia;Crude, NGL and feedstocks;Production (PJ);01. Australia;02. Crude, NGL and feedstocks;01. Production (PJ);620,7177142;663,6482403;830,909234;822,0716821;880,9319271;904,1275192;956,0111864;949,5588712;951,5585497;891,936575;870,2321243;857,3440863;833,873145;1003,113788;1160,607676;1206,827331;1198,029931;1195,116433;1081,195284;1215,252065;1216,28785;1201,070933;1189,359642;1119,50962;1187,567775;1167,102784;1181,571842;1303,770575;1049,126816;1419,76203;1466,045525;1380,336303;1347,210961;1194,682191;1074,859927;971,9197285;1084,871215;998,73671;1026,164826;1069,166859;1024,981343;961,0777964;840,3909501;803,9307885;757,2969666;735,4605354;641,2786243;611,905639;718,9714306;865,5096484;782,9726013
Australia;Crude, NGL and feedstocks;Imports (PJ);01. Australia;02. Crude, NGL and feedstocks;02. Imports (PJ);440,7445197;379,7046559;374,2120977;385,4585668;358,3671531;363,1200336;386,841224;442,172767;440,12157;435,819545;426,5805502;464,7263594;428,6378977;314,444929;266,7689288;212,0235002;268,9757492;343,4802907;437,0776156;427,4636133;458,6167757;565,1502492;716,4790747;730,3795688;736,764711;850,8183849;862,5316947;872,3804384;1026,083979;934,2447249;970,7218766;1007,142787;971,6603813;808,328285;894,996368;838,4640927;869,4460819;899,3277968;832,3162248;925,0958468;1087,107364;1008,830059;1025,185684;968,8388005;846,7368452;682,1819562;697,35296;767,2471899;744,6250219;630,8066085;478,8793846
Australia;Crude, NGL and feedstocks;Exports (PJ);01. Australia;02. Crude, NGL and feedstocks;03. Exports (PJ);-24,15327239;-14,25864144;-0,777744155;0;0;0;0;0;0;0;-3,10220946;0;-1,95481692;-36,6536881;-198,2772812;-177,751469;-201,1525661;-226,9186147;-172,0253334;-245,1723887;-320,3867392;-356,1685849;-394,0356788;-369,8876315;-434,2597234;-421,433964;-499,3016656;-594,9688481;-569,9272289;-810,7614438;-985,3191967;-895,8424952;-736,7487509;-615,6306852;-552,2343355;-457,6562484;-561,1512439;-562,202361;-582,5358022;-634,2927894;-690,1938502;-612,790515;-553,8925218;-521,1333532;-532,8400395;-488,5213883;-450,1221856;-458,1327774;-518,2661446;-594,5287443;-563,5961886
Australia;Crude, NGL and feedstocks;Total energy supply (PJ);01. Australia;02. Crude, NGL and feedstocks;04. Total energy supply (PJ);1051,352762;1029,094259;1204,343587;1207,530253;1239,29908;1267,247553;1342,85241;1388,491038;1390,211047;1325,359968;1276,10034;1325,343535;1259,086667;1270,815942;1214,120837;1245,302621;1259,649499;1313,985241;1353,438914;1384,743752;1361,259463;1411,108546;1508,418504;1482,971849;1477,358163;1588,277477;1553,765119;1560,248605;1522,119476;1531,413272;1412,236345;1507,576295;1580,694286;1420,208029;1422,369527;1347,53373;1381,133654;1343,337887;1277,027298;1335,99169;1438,987137;1368,086815;1318,830796;1254,972546;1082,207351;938,7690062;889,654903;924,5440308;933,1307096;901,5477261;715,0197404
Australia;Crude, NGL and feedstocks;Electricity, CHP and heat plants (PJ);01. Australia;02. Crude, NGL and feedstocks;05. Electricity, CHP and heat plants (PJ);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,043672511;-0,043672511;-0,043567841;-0,043471544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
Australia;Crude, NGL and feedstocks;Oil refineries, transformation (PJ);01. Australia;02. Crude, NGL and feedstocks;06. Oil refineries, transformation (PJ);-1026,257329;-1021,184862;-1162,481537;-1159,961967;-1184,676944;-1207,922849;-1276,926023;-1271,635319;-1300,695303;-1266,557016;-1194,879255;-1234,219265;-1163,273943;-1180,020666;-1175,661759;-1164,398233;-1164,59307;-1212,955383;-1273,086828;-1284,330651;-1316,953649;-1368,302766;-1411,384875;-1428,934362;-1452,990844;-1524,236841;-1566,955938;-1616,956818;-1576,442758;-1571,650919;-1514,340452;-1570,656399;-1573,90665;-1488,29485;-1426,661286;-1354,423624;-1400,086138;-1363,296438;-1374,116937;-1340,486822;-1501,473716;-1440,254469;-1410,683549;-1333,327419;-1179,758154;-1007,55077;-978,352127;-1041,566832;-1038,771591;-930,33157;..
Australia;Crude, NGL and feedstocks;Total final consumption (PJ);01. Australia;02. Crude, NGL and feedstocks;07. Total final consumption (PJ);0;0;0;0;0;0,406952773;0,497387653;0,13565232;0,04521744;0,04521744;0,09043488;0,09043488;0,09043488;0,13565232;0,13565232;0,131017532;0,174690043;0,130699336;0,130414633;0,187719365;0;0,085310237;0,127965355;0,127965355;0,135208519;0;0;0;0;0;0;0;0,129845228;0,129845228;0,692513467;0,692513467;0,735792419;0,692513467;0,649230329;0,562664052;0,607940107;0,629535622;0,603049925;0,616941727;0,63221936;0,614257988;0,618281503;0,65931633;0,627458969;0;..
Australia;Crude, NGL and feedstocks;Industry (PJ);01. Australia;02. Crude, NGL and feedstocks;08. Industry (PJ);0;0;0;0;0;0,406952773;0,497387653;0,13565232;0,04521744;0,04521744;0,09043488;0,09043488;0,09043488;0,13565232;0,13565232;0,131017532;0,174690043;0,130699336;0,130414633;0,187719365;0;0,085310237;0,127965355;0,127965355;0,135208519;0;0;0;0;0;0;0;0,129845228;0,129845228;0,692513467;0,692513467;0,735792419;0,692513467;0,649230329;0,562664052;0,607940107;0,629535622;0,603049925;0,616941727;0,63221936;0,614257988;0,618281503;0,65931633;0,627458969;0;..
